Year,Stars,Position,Name,Class,Previous School,New School,,,
2019,2,SF,Tony Miller,RS SR,Montana,Washington State,,,
2019,2,SG,Chance Moore,RS SO,Wichita State,Washington State,,,
2019,2,PG,Jaylen Shead,RS N/A,Texas State,Washington State,,,
2017,2,PF,Drick Bernstine,RS N/A,North Dakota,Washington State,,,
2019,2,PG,Mastadi Pitt,SR,Norfolk State,Washington Adventist University,,,
2021,4,SG,Daejon Davis,SR,Stanford,Washington,,,
2021,4,PG,P.J. Fuller,SO,TCU,Washington,,,
2021,3,SG,"Emmitt Matthews, Jr.",JR,West Virginia,Washington,,,
2021,2,PG,"Terrell Brown, Jr.",RS SR,Arizona,Washington,,,
2020,4,SG,Cole Bajema,SO,Michigan,Washington,,,
2020,3,SG,Erik Stevenson,JR,Wichita State,Washington,,,
2019,5,PG,Quade Green,RS JR,Kentucky,Washington,,,
2019,4,PF,J'Raan Brooks,RS SO,USC,Washington,,,
2021,2,PF,Jeremy Harrell,RS SR,McNeese State,Washburn,,,
2018,2,SF,Jamaal David,RS SR,Charleston Southern,Washburn,,,
2018,2,PG,Devyn Wilson,N/A,Portland State,Washburn,,,
2020,2,PG,Kajuan Hale,RS SO,California Baptist,Walters State Community College,,,
2020,2,PG,Deovaunta Williams,SO,Loyola Marymount,Walters State Community College,,,
2019,2,PG,"Dennis Stallings, Jr.",RS SO,Alabama A&M,Walters State Community College,,,
2017,2,PG,Jonathan Bins,N/A,Memphis,Walters State Community College,,,
2017,2,SG,Tyler Byrd,N/A,Florida Atlantic,Walters State Community College,,,
2017,2,SF,Miles Thomas,RS SR,Tennessee Tech,Walters State Community College,,,
2019,2,C,Mark Kostelac,RS JR,Akron,Walsh,,,
2018,3,PF,A.J. Gareri,RS JR,Ohio,Walsh,,,
2017,2,PF,Sterling Christy,RS N/A,Radford,Walsh,,,
2017,2,SF,Andy Lucien,RS SR,Cleveland State,Walsh,,,
2021,3,SF,"Bruce Guy, Jr.",SO,Maryland Eastern Shore,Wallace State Community College,,,
2021,2,PF,Tremere Brown,SO,Alabama A&M,Wallace State Community College,,,
2021,2,PG,Myson Lowe,FR,Alcorn State,Wallace State Community College,,,
2019,2,PG,Rafael Jenkins,RS SO,VMI,Wallace State Community College,,,
2021,3,SG,Damari Monsanto,RS FR,ETSU,Wake Forest,,,
2021,3,PF,Khadim Sy,RS SR,Ole Miss,Wake Forest,,,
2021,3,C,Dallas Walton,RS SR,Colorado,Wake Forest,,,
2021,2,PF,Jake LaRavia,SO,Indiana State,Wake Forest,,,
2021,2,SG,Alondes Williams,SR,Oklahoma,Wake Forest,,,
2020,3.5,SG,Jalen Johnson,RS SR,Tennessee,Wake Forest,,,
2020,2,SG,Jonah Antonio,RS SR,UNLV,Wake Forest,,,
2020,2,SG,Ian DuBose,SR,Houston Baptist,Wake Forest,,,
2020,2,SG,Isaiah Wilkins,JR,Virginia Tech,Wake Forest,,,
2020,2,PG,Daivien Williamson,JR,ETSU,Wake Forest,,,
2019,2,PG,"Anthony Mathis, Jr.",RS JR,Navy,Wake Forest,,,
2018,2,PG,Torry Johnson,RS N/A,Northern Arizona,Wake Forest,,,
2018,2,PG,Miles Lester,RS JR,Rice,Wake Forest,,,
2018,2,C,Ikenna Smart,RS N/A,Buffalo,Wake Forest,,,
2018,2,PG,Andrien White,RS N/A,Charlotte,Wake Forest,,,
2017,2,SF,Terrence Thompson,RS N/A,Marshall,Wake Forest,,,
2021,2,SF,Jahbril Price-Noel,JR,Pacific,Wagner,,,
2021,2,PF,Raekwon Rogers,SR,Henderson State,Wagner,,,
2020,2,C,Justin Brown,RS JR,Chattanooga,Wagner,,,
2020,2,SG,Ashton Miller,SO,Duquesne,Wagner,,,
2019,3,SG,Curtis Cobb III,RS N/A,Massachusetts,Wagner,,,
2019,2,C,Patrick Szpir,N/A,Chicago State,Wagner,,,
2019,2,PG,"Atiba Taylor, Jr.",JR,Youngstown State,Wagner,,,
2017,2.5,C,Nick Madray,RS N/A,Eastern Michigan,Wagner,,,
2017,2,PF,Lonnie Rivera,RS N/A,American,Wagner,,,
2021,2,SG,Jared Hankins,RS FR,Indiana State,Wabash Valley College,,,
2020,2,SF,"Joshua Jones, Jr.",RS FR,Cal State Fullerton,Wabash Valley College,,,
2020,2,C,Javier Turner,SO,Wyoming,Wabash Valley College,,,
2018,2.7,C,Levi Cook,RS SR,Marshall,Wabash Valley College,,,
2018,2,PF,Justin Carpenter,SR,Southeast Missouri State,Wabash Valley College,,,
2017,2,SG,Zion Morgan,RS SR,UNLV,Wabash Valley College,,,
2021,2,PG,Cameron McCravy,RS FR,Hartford,Virginia–Wise,,,
2021,2,SG,Demarius Pitts,RS SO,Kansas City,Virginia Union,,,
2020,2,PG,Darius Hines-Sledd,JR,Marist,Virginia Union,,,
2019,2,PG,Keleaf Tate,RS SR,Niagara,Virginia Union,,,
2018,2,PG,"Eric Bowles, Jr.",N/A,Central Connecticut State,Virginia Union,,,
2017,2.7,C,Andre Walker,N/A,Hofstra,Virginia Union,,,
2017,2,C,Jordan Thornton,N/A,Merrimack,Virginia Union,,,
2021,4,C,Lynn Kidd,FR,Clemson,Virginia Tech,,,
2021,2,PG,Storm Murphy,SR,Wofford,Virginia Tech,,,
2020,3,SF,Cordell Pemsl,RS SR,Iowa,Virginia Tech,,,
2020,2,SG,Cartier Diarra,RS SR,Kansas State,Virginia Tech,,,
2020,2,PF,Justyn Mutts,RS JR,Delaware,Virginia Tech,,,
2019,2,PF,Keve Aluma,RS JR,Wofford,Virginia Tech,,,
2019,2,C,Branden Johnson,RS N/A,Alabama State,Virginia Tech,,,
2021,2.5,C,James Love III,RS SR,Eastern Michigan,Virginia State,,,
2021,2,PG,Michael Melvin,RS SR,North Carolina Central,Virginia State,,,
2021,2,PF,Dajour Rucker,RS FR,Marshall,Virginia State,,,
2020,2,PG,Cle'von Greene,JR,Radford,Virginia State,,,
